service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TAL_ARKI_K20_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K24_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K23_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K8_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K6_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K5_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K2_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K16_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K13_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_AR_K26_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_ARKI_K1_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_AR_K25_2015,1,1,1,1,1,0,0,20141201,20150531
TAL_MATO_K18_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_K19_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MA_TO_K21_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_K22_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MA_TO_K7_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_K9_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_K12_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_K27_2015,1,1,1,1,0,0,0,20141201,20150531
TAL_MATO_MUUT_2015,1,1,1,1,0,0,0,20141201,20150531
tal_tkl_mato_2015,1,1,1,1,0,0,0,20141201,20150531
