service_id,date,exception_type
TAL_ARKI_K20_2015,20141224,2
TAL_ARKI_K20_2015,20141225,2
TAL_ARKI_K20_2015,20141226,2
TAL_ARKI_K20_2015,20150101,2
TAL_ARKI_K20_2015,20150106,2
TAL_ARKI_K20_2015,20150403,2
TAL_ARKI_K20_2015,20150406,2
TAL_ARKI_K20_2015,20150501,2
TAL_ARKI_K20_2015,20150514,2
TAL_ARKI_K24_2015,20141224,2
TAL_ARKI_K24_2015,20141225,2
TAL_ARKI_K24_2015,20141226,2
TAL_ARKI_K24_2015,20150101,2
TAL_ARKI_K24_2015,20150106,2
TAL_ARKI_K24_2015,20150403,2
TAL_ARKI_K24_2015,20150406,2
TAL_ARKI_K24_2015,20150501,2
TAL_ARKI_K24_2015,20150514,2
TAL_ARKI_K23_2015,20141224,2
TAL_ARKI_K23_2015,20141225,2
TAL_ARKI_K23_2015,20141226,2
TAL_ARKI_K23_2015,20150101,2
TAL_ARKI_K23_2015,20150106,2
TAL_ARKI_K23_2015,20150403,2
TAL_ARKI_K23_2015,20150406,2
TAL_ARKI_K23_2015,20150501,2
TAL_ARKI_K23_2015,20150514,2
TAL_ARKI_K8_2015,20141224,2
TAL_ARKI_K8_2015,20141225,2
TAL_ARKI_K8_2015,20141226,2
TAL_ARKI_K8_2015,20150101,2
TAL_ARKI_K8_2015,20150106,2
TAL_ARKI_K8_2015,20150403,2
TAL_ARKI_K8_2015,20150406,2
TAL_ARKI_K8_2015,20150501,2
TAL_ARKI_K8_2015,20150514,2
TAL_ARKI_K6_2015,20141224,2
TAL_ARKI_K6_2015,20141225,2
TAL_ARKI_K6_2015,20141226,2
TAL_ARKI_K6_2015,20150101,2
TAL_ARKI_K6_2015,20150106,2
TAL_ARKI_K6_2015,20150403,2
TAL_ARKI_K6_2015,20150406,2
TAL_ARKI_K6_2015,20150501,2
TAL_ARKI_K6_2015,20150514,2
TAL_ARKI_K5_2015,20141224,2
TAL_ARKI_K5_2015,20141225,2
TAL_ARKI_K5_2015,20141226,2
TAL_ARKI_K5_2015,20150101,2
TAL_ARKI_K5_2015,20150106,2
TAL_ARKI_K5_2015,20150403,2
TAL_ARKI_K5_2015,20150406,2
TAL_ARKI_K5_2015,20150501,2
TAL_ARKI_K5_2015,20150514,2
TAL_ARKI_K2_2015,20141224,2
TAL_ARKI_K2_2015,20141225,2
TAL_ARKI_K2_2015,20141226,2
TAL_ARKI_K2_2015,20150101,2
TAL_ARKI_K2_2015,20150106,2
TAL_ARKI_K2_2015,20150403,2
TAL_ARKI_K2_2015,20150406,2
TAL_ARKI_K2_2015,20150501,2
TAL_ARKI_K2_2015,20150514,2
TAL_ARKI_K16_2015,20141224,2
TAL_ARKI_K16_2015,20141225,2
TAL_ARKI_K16_2015,20141226,2
