Bussi 20: 13:11 3937, Kauhakorvenkatu 2
Bussi 20: 13:12 3935, Niittyhaankatu
Bussi 20: 13:13 3923, Solkimäki
Bussi 20: 13:13 3925, Polunmäenkatu
Bussi 20: 13:14 3941, Rusko
Bussi 20: 13:14 4083, Solkiniitynkatu
Bussi 20: 13:15 4085, Levonmäki
Bussi 20: 13:16 4087, Pitkäniitty
Bussi 9: 13:23 4087, Pitkäniitty
Bussi 9: 13:24 4089, Juvankatu
Bussi 9: 13:25 4097, Juvankatu 39
Bussi 9: 13:26 4035, Vanha-Juva
Bussi 9: 13:27 4033, Yrjöläntie
Bussi 9: 13:28 4031, Juvankatu 13
Bussi 9: 13:30 4027, Keskisenkatu
Bussi 9: 13:30 4025, Kirsikatu
