Bussi 3: 23:39 3523, Hervantakeskus
Bussi 3: 23:40 3723, Orivedenkatu
Bussi 3: 23:40 3721, Kanjoninkatu
Bussi 3: 23:41 3517, Lukonmäki et.
Bussi 3: 23:42 3515, Lukonmäki pohj.
Bussi 3: 23:43 3951, Laulunmaa
Bussi 3: 23:43 3513, Turtola
Bussi 3: 23:44 3943, Palvaanniemi
Bussi 3: 23:47 4517, Sammonkatu 47
Bussi 3: 23:48 4515, Sammonkatu 45
Bussi 3: 23:49 4507, Sammonkatu 43
Bussi 3: 23:50 4505, Uintikeskus
Bussi 3: 23:51 4503, Sammonkatu 13
Bussi 3: 23:52 4501, Kalevan kirkko
Bussi 3: 23:53 0513, Itsenäisyydenkatu 25
Bussi 3: 23:55 0511, Itsenäisyydenkatu 13
Bussi 3: 23:56 0505, Rautatieasema H
Bussi 3: 23:58 0501, Koskipuisto A
Bussi 3: 00:10 0015, Keskustori D
Bussi 3: 00:11 0016, Tuulensuu A
Bussi 3: 00:12 0066, Hämeenpuisto 17
Bussi 3: 00:13 0052, Pikkupalatsi
