stop_id,stop_code,stop_name,stop_lat,stop_lon
4078,4078,Kaukajärvi,61.47075,23.88934
4077,4077,Haiharankatu,61.47198,23.88424
4073,4073,Keskisenkatu 13,61.47287,23.87728
4079,4079,Keskisenkatu,61.47327,23.87485
3584,3584,Santaharjuntie,61.47392,23.86283
3555,3555,Vasaratie 31,61.47276,23.85590
3553,3553,Vasaratie 25,61.47291,23.85266
3551,3551,Vasaratie 13,61.47418,23.84793
3549,3549,Nuijatie,61.47607,23.84764
3117,3117,Pullerikinahde,61.47865,23.84043
3562,3562,Sotilaankatu,61.47903,23.83273
3589,3589,Steiner-koulu,61.47931,23.82686
3088,3088,Uotilantie,61.48015,23.81603
3085,3085,Siirtolapuutarha,61.48015,23.81030
3083,3083,Kuoppamäentie 29,61.48002,23.80427
3081,3081,Seurakuntatalo,61.47996,23.80037
3069,3069,Jokipohjantie 23,61.48167,23.79794
3067,3067,Riihitie,61.48390,23.79852
3065,3065,Nekalantie 55,61.48538,23.79583
3063,3063,Nekalantie 29,61.48769,23.78896
3061,3061,Lokintaival,61.48888,23.78595
3557,3557,Iidesaukio,61.49123,23.78538
0601,0601,Tietotalo,61.49117,23.77632
0523,0523,Linja-autoasema,61.49380,23.77054
0519,0519,Koskipuisto I,61.49751,23.76606
0008,0008,Keskustori N,61.49746,23.76153
5218,5218,Sorila,61.55509,23.93549
5400,5400,Sorilan koulu,61.55469,23.93057
5402,5402,Jokivalkamantie,61.55430,23.92737
5404,5404,Hirsimoisio,61.55276,23.91740
5406,5406,Tervasuontie,61.55126,23.91053
5408,5408,Laalahti,61.54781,23.90447
5410,5410,Aitolahti kko,61.54530,23.89125
5412,5412,Ruokosenraitti,61.54359,23.88453
5414,5414,Ruokonen,61.54217,23.87767
5416,5416,Pättinniemi th,61.54124,23.86860
5419,5419,Lampu,61.53844,23.85439
5420,5420,Diabeteskeskus,61.53617,23.84051
5418,5418,Lampu,61.53836,23.85463
5422,5422,Hirviniemi th,61.54252,23.86567
5425,5425,Aitoniemi,61.56371,23.82688
5218,5218,Sorila,61.55509,23.93549
5400,5400,Sorilan koulu,61.55469,23.93057
5402,5402,Jokivalkamantie,61.55430,23.92737
5404,5404,Hirsimoisio,61.55276,23.91740
5406,5406,Tervasuontie,61.55126,23.91053
5408,5408,Laalahti,61.54781,23.90447
5410,5410,Aitolahti kko,61.54530,23.89125
5412,5412,Ruokosenraitti,61.54359,23.88453
5414,5414,Ruokonen,61.54217,23.87767
5416,5416,Pättinniemi th,61.54124,23.86860
5419,5419,Lampu,61.53844,23.85439
5420,5420,Diabeteskeskus,61.53617,23.84051
5418,5418,Lampu,61.53836,23.85463
5422,5422,Hirviniemi th,61.54252,23.86567
