Bussi 10: 16:56 3549, Nuijatie
Bussi 10: 16:57 3117, Pullerikinahde
Bussi 10: 16:58 3562, Sotilaankatu
Bussi 10: 16:59 3589, Steiner-koulu
Bussi 10: 17:00 3088, Uotilantie
Bussi 10: 17:01 3085, Siirtolapuutarha
Bussi 10: 17:02 3083, Kuoppamäentie 29
Bussi 10: 17:02 3081, Seurakuntatalo
Bussi 10: 17:03 3069, Jokipohjantie 23
Bussi 10: 17:04 3067, Riihitie
Bussi 10: 17:05 3065, Nekalantie 55
Bussi 10: 17:05 3063, Nekalantie 29
Bussi 10: 17:06 3061, Lokintaival
Bussi 10: 17:07 3557, Iidesaukio
Bussi 10: 17:09 0601, Tietotalo
